source,target,out_provider,in_provider,weight
RWH,RM1,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7
RJZ,RTK,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,32
RRV,RJ1,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,499
RRV,RQX,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,16
RNN,RXW,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2
RXR,RMC,EAST LANCASHIRE HOSPITALS NHS TRUST,BOLTON NHS FOUNDATION TRUST,6
RJZ,R0D,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,2
RWE,RHQ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,493
RXW,RTH,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3
RCD,RWY,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,7
RRK,RBT,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,2
RRV,RQW,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7
REM,RHU,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1
RMC,RLT,BOLTON NHS FOUNDATION TRUST,GEORGE ELIOT HOSPITAL NHS TRUST,1
R0A,RA7,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1
RD1,RR8,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,1
RH5,RTK,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,1
RQM,RTD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1
RHM,RVJ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NORTH BRISTOL NHS TRUST,6
RGR,RYR,WEST SUFFOLK NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1
RHQ,RL4,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,1
R1K,RYJ,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,140
RWE,RX1,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1095
R1H,RAL,BARTS HEALTH NHS TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,207
RXC,RJZ,EAST SUSSEX HEALTHCARE NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,305
RD8,RC9,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,172
RJ2,RJ7,LEWISHAM HEALTHCARE NHS TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,199
RQM,R1K,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,80
RXK,RRK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,10362
RBN,RWW,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,7
RC9,RTH,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RBS,RBN,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,16
RC9,RJ1,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1214
RAX,RJZ,KINGSTON HOSPITAL NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,151
RFF,RFS,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5
RQW,RQX,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,2
RXQ,RDU,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,132
