source,target,out_provider,in_provider,weight
RGN,RDU,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,4
RM1,RBN,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1
RQX,RKE,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,454
RH8,RWH,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8
RAX,RD1,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,1
RWP,RJC,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,141
RTX,RWD,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,2
RHU,RDE,PORTSMOUTH HOSPITALS NHS TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2
RTH,RWA,OXFORD UNIVERSITY HOSPITALS NHS TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,13
RX1,RFF,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,11
RJ7,RTH,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,1
RQX,RWA,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,4
RH5,RBT,SOMERSET NHS FOUNDATION TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,3
RKB,RJL,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,1
RXN,RCU,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,6
RJ1,RD1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,1
RRF,RKB,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1
RTE,RJE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,1
RRF,RGT,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RH8,RVV,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,5
RXK,RK5,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1
RK9,RD1,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST,1
RA9,RNQ,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1
RAE,RKE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,2
RTK,RWD,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,1
RWW,RJ6,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,CROYDON HEALTH SERVICES NHS TRUST,2
RGN,RRK,NORTH WEST ANGLIA NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,10
RAL,RWA,ROYAL FREE LONDON NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,10
RJ7,RGT,ST GEORGE'S HEALTHCARE NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31
RTG,RJL,DERBY HOSPITALS NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,3
RTD,RWP,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,1
RRF,RBT,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,3
RK5,RFF,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1
RC9,RX1,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,10
RYR,RGT,WESTERN SUSSEX HOSPITALS NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10
RAX,RKE,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,WHITTINGTON HEALTH NHS TRUST,4
RJR,RKB,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1
RTH,RBN,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1
RXR,RJC,EAST LANCASHIRE HOSPITALS NHS TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,3
RK9,RAJ,PLYMOUTH HOSPITALS NHS TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1
RQX,RC9,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,2
RKE,RWH,THE WHITTINGTON HEALTH NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,3
RJ7,RWA,ST GEORGE'S HEALTHCARE NHS TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3
RNZ,R1H,SALISBURY NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,2
REM,RWF,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1
RCF,RWD,AIREDALE NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,3
RQ3,RJ6,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,CROYDON HEALTH SERVICES NHS TRUST,1
RBN,RJ6,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,CROYDON HEALTH SERVICES NHS TRUST,2
RN5,RKB,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1
RP5,RRK,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,9
RTH,RHQ,OXFORD UNIVERSITY HOSPITALS NHS TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,210
RA7,RX1,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3
RYR,RTK,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,5
RJZ,RKB,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,13
RJC,RDU,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,9
RWG,R1H,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,BARTS HEALTH NHS TRUST,9
R0B,RCU,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,1
R1K,RAX,LONDON NORTH WEST HEALTHCARE NHS TRUST,KINGSTON HOSPITAL NHS TRUST,3
RAJ,RWA,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,2
RWP,RDE,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,1
RBK,RWD,WALSALL HEALTHCARE NHS TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1
RA7,RTH,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RA7,RGR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,WEST SUFFOLK NHS FOUNDATION TRUST,1
RWH,RAX,EAST AND NORTH HERTFORDSHIRE NHS TRUST,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1
RN7,RAP,DARTFORD AND GRAVESHAM NHS TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1
RTD,RGR,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,WEST SUFFOLK NHS FOUNDATION TRUST,1
RHM,RA2,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ROYAL SURREY NHS FOUNDATION TRUST,131
RTH,RD1,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ROYAL UNITED HOSPITAL BATH NHS TRUST,1
RJE,RJC,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,3
RAX,RTK,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,2
RA7,R0A,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,6
RAS,RTK,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1
RYR,RDU,WESTERN SUSSEX HOSPITALS NHS TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,45
R1K,RKB,LONDON NORTH WEST HEALTHCARE NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1
RWY,RTK,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1
RTH,R0A,OXFORD UNIVERSITY HOSPITALS NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,9
RYR,RRK,WESTERN SUSSEX HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,3
RA7,RA2,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,4
RAJ,RTP,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1
RXF,RJL,MID YORKSHIRE HOSPITALS NHS TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2
RAL,RWD,ROYAL FREE LONDON NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,4
RWH,RTP,EAST AND NORTH HERTFORDSHIRE NHS TRUST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1
RM3,RBK,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,WALSALL HEALTHCARE NHS TRUST,1
RHU,RRK,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4
RL4,RAJ,THE ROYAL WOLVERHAMPTON NHS TRUST,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1
RYR,RJC,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5
RLT,RJ6,GEORGE ELIOT HOSPITAL NHS TRUST,CROYDON HEALTH SERVICES NHS TRUST,1
RJ6,RDU,CROYDON HEALTH SERVICES NHS TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,2
RBT,RBK,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,WALSALL HEALTHCARE NHS TRUST,1
RWJ,RWA,STOCKPORT NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,2
RN5,RBK,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,WALSALL HEALTHCARE NHS TRUST,3
REF,RJC,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1
RXC,RKE,EAST SUSSEX HEALTHCARE NHS TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,1
RXQ,RWH,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,1162
RCD,RK5,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,3
RP5,RWA,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,102
RJE,RVJ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NORTH BRISTOL NHS TRUST,1
RTH,RWD,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,26
RC9,RWP,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,1
RN3,RJL,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1
RAX,RKE,KINGSTON HOSPITAL NHS TRUST,THE WHITTINGTON HOSPITAL NHS TRUST,4
RBT,RJ1,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2
RM3,RWA,SALFORD ROYAL NHS FOUNDATION TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,23
RWA,RJE,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,6
RFF,RAP,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1
RTR,RVV,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1
RKE,RAJ,THE WHITTINGTON HEALTH NHS TRUST,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,2
RYR,RX1,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1
RRF,RAX,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",KINGSTON HOSPITAL NHS FOUNDATION TRUST,1
RHU,RDE,PORTSMOUTH HOSPITALS NHS TRUST,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2
RA7,RJC,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,3
RA9,RBT,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,4
RHU,RVV,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,2
RL4,RAX,THE ROYAL WOLVERHAMPTON NHS TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,6
RVR,RVV,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,5
REM,RTP,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1
RTH,RXW,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1
RMC,RAX,BOLTON NHS FOUNDATION TRUST,KINGSTON HOSPITAL NHS TRUST,3
RJ2,RKE,LEWISHAM HEALTHCARE NHS TRUST,THE WHITTINGTON HEALTH NHS TRUST,3
RH5,RDE,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1
RQW,RDE,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,3
RRK,RWF,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2
RP5,RKE,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,THE WHITTINGTON HEALTH NHS TRUST,1
RM1,RCU,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4
RTX,RAX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,2
RWP,RAX,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,KINGSTON HOSPITAL NHS TRUST,2
RXC,RKB,EAST SUSSEX HEALTHCARE NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1
RRV,RXW,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1
RXF,RTK,MID YORKSHIRE TEACHING NHS TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,1
RQX,R0A,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,4
RQX,R0A,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,4
RTK,RTH,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8
RGN,RTK,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1
RDU,RDE,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,3
RWA,RNZ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,SALISBURY NHS FOUNDATION TRUST,3
RTD,RJL,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1
RBL,RJE,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,2
RH5,RWH,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,5
RJC,RJE,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,4
RBK,RJZ,WALSALL HEALTHCARE NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,6
RKB,RVV,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3
RHW,RKB,ROYAL BERKSHIRE NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,5
RVV,R1K,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,LONDON NORTH WEST HEALTHCARE NHS TRUST,1
RHU,RAX,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,15
R1K,R0A,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,10
RVW,R0A,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1
RHU,RA2,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,2
RP5,RJE,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,1
RHM,RAX,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6
RYR,RFF,WESTERN SUSSEX HOSPITALS NHS TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,3
RXL,RWA,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,2
RCB,RDU,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,2
RTH,RNQ,OXFORD UNIVERSITY HOSPITALS NHS TRUST,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7
RWF,RHQ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4
RJ7,RX1,ST GEORGE'S HEALTHCARE NHS TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,5
RWE,RAX,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,KINGSTON HOSPITAL NHS FOUNDATION TRUST,14
R1K,RAJ,LONDON NORTH WEST HEALTHCARE NHS TRUST,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,4
RCB,R1H,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,2
RQX,RKB,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1
RJN,RJ6,EAST CHESHIRE NHS TRUST,CROYDON HEALTH SERVICES NHS TRUST,2
RJ1,RDU,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,73
RWD,RJL,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,16
RXP,RHQ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,99
RVR,RRK,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,3
RBD,RBT,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6
RJ7,RRK,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,23
RW6,RAX,PENNINE ACUTE HOSPITALS NHS TRUST,KINGSTON HOSPITAL NHS TRUST,4
RWH,RDE,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,4
RQ3,RJL,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,3
RJE,RTK,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,2
RJ2,RA2,LEWISHAM HEALTHCARE NHS TRUST,ROYAL SURREY NHS FOUNDATION TRUST,1
RPA,RDU,MEDWAY NHS FOUNDATION TRUST,FRIMLEY HEALTH NHS FOUNDATION TRUST,1
RCB,RWD,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,1
RJ7,RWA,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3
RWD,RDE,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1
R0B,RWA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3
RVJ,RWH,NORTH BRISTOL NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,1
RVV,RAX,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,18
RWW,RGT,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RWD,RFF,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4
RHW,RGT,ROYAL BERKSHIRE NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3
RCF,RDE,AIREDALE NHS FOUNDATION TRUST,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2
RH5,RAX,SOMERSET NHS FOUNDATION TRUST,KINGSTON HOSPITAL NHS TRUST,1
RF4,RAX,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",KINGSTON AND RICHMOND NHS FOUNDATION TRUST,1
R1H,RWP,BARTS HEALTH NHS TRUST,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,1
RBN,RK5,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1
RTG,RTH,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RAL,RJE,ROYAL FREE LONDON NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,7
