"Code","Name","Primary_Role_Name","Non_Primary_Role_Name(s)","Postcode","UPRN","Geographic_Local_Authority_Code","Geographic_Local_Authority_Name","High_Level_Health_Geography_Code","High_Level_Health_Geography_Name","National_Grouping_Code","National_Grouping_Name","Geographic_Government_Office_Region_Code","Geographic_Government_Office_Region_Name"
"RTH","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","OX3 9DU","100121298340","608","OXFORDSHIRE COUNTY COUNCIL","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RPG","OXLEAS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DA2 7WG","200000533036","820","KENT COUNTY COUNCIL","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RW6","PENNINE ACUTE HOSPITALS NHS TRUST","NHS TRUST","","M8 5RB","77009523","306","MANCHESTER CITY COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RT2","PENNINE CARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","OL6 7SR","10091824335","311","TAMESIDE METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RD3","POOLE HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BH15 2JB","100041056131","738","BCP COUNCIL","QVV","NHS DORSET INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST","NHS TRUST","","PO6 3LY","1775098163","813","PORTSMOUTH CITY COUNCIL","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RYT","PUBLIC HEALTH WALES NHS TRUST","NHS TRUST","","CF10 4BZ","10093728970","052","CARDIFF UA","","","","","W","WALES GOVERNMENT OFFICE REGION"
"RPC","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","RH19 3DZ","100062616507","807","WEST SUSSEX COUNTY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","DN4 8QN","10006709715","205","DONCASTER METROPOLITAN BOROUGH COUNCIL","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","RG1 5AN","310046674","616","READING BOROUGH COUNCIL","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST","NHS TRUST","","TR1 3LJ","10001213844","902","CORNWALL COUNCIL","QT6","NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RH8","ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","EX2 5DW","100041044091","912","DEVON COUNTY COUNCIL","QJK","NHS DEVON INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST|MEDICINE SUPPLIER","NW3 2QG","5087826","702","LONDON BOROUGH OF CAMDEN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RQ6","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","HOSPICE","L7 8XP","38120459","316","LIVERPOOL CITY COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","NHS TRUST","","HA7 4LP","10000001177","725","LONDON BOROUGH OF HARROW","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RGM","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","CB2 0AY","10093698746","623","CAMBRIDGESHIRE COUNTY COUNCIL","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RA2","ROYAL SURREY NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","GU2 7XX","100062331026","805","SURREY COUNTY COUNCIL","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BA1 3NG","100121171714","908","BATH AND NORTH EAST SOMERSET COUNCIL","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RPR","ROYAL WEST SUSSEX NHS TRUST","NHS TRUST","HOSPICE","PO19 6SE","10008883780","807","WEST SUSSEX COUNTY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RNZ","SALISBURY NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SP2 8BJ","100121333469","817","WILTSHIRE COUNCIL","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","NHS TRUST","","B66 2QT","10008758419","409","SANDWELL METROPOLITAN BOROUGH COUNCIL","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RCC","SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST","NHS TRUST","HOSPICE","YO12 6QL","100052211189","218","NORTH YORKSHIRE COUNCIL","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","S10 2TH","100052218098","207","SHEFFIELD CITY COUNCIL","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
