"Code","Name","Primary_Role_Name","Non_Primary_Role_Name(s)","Postcode","UPRN","Geographic_Local_Authority_Code","Geographic_Local_Authority_Name","High_Level_Health_Geography_Code","High_Level_Health_Geography_Name","National_Grouping_Code","National_Grouping_Name","Geographic_Government_Office_Region_Code","Geographic_Government_Office_Region_Name"
"RD7","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","SL2 4HL","200000848891","617","SLOUGH BOROUGH COUNCIL","QNQ","NHS FRIMLEY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"R1A","HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST","NHS TRUST","","WR5 1JR","10090442829","416","WORCESTERSHIRE COUNTY COUNCIL","QGH","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RY4","HERTFORDSHIRE COMMUNITY NHS TRUST","NHS TRUST","","AL7 1BW","","606","HERTFORDSHIRE COUNTY COUNCIL","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","AL10 8YE","10007553984","606","HERTFORDSHIRE COUNTY COUNCIL","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RQX","HOMERTON HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","E9 6SR","10008242319","704","LONDON BOROUGH OF HACKNEY","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RY9","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","NHS TRUST","","TW11 8HU","10002264302","733","LONDON BOROUGH OF RICHMOND UPON THAMES","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RWA","HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST","NHS TRUST","","HU3 2JZ","21113610","215","HULL CITY COUNCIL","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RV9","HUMBER TEACHING NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","HU10 6ED","200000641045","214","EAST RIDING OF YORKSHIRE COUNCIL","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","NHS TRUST","HOSPICE","W2 1BL","100023476722","713","CITY OF WESTMINSTER","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RGQ","IPSWICH HOSPITAL NHS TRUST","NHS TRUST","HOSPICE","IP4 5PD","10004566607","609","SUFFOLK COUNTY COUNCIL","QJG","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"R1F","ISLE OF WIGHT NHS TRUST","NHS TRUST","","PO30 5TG","10003316992","803","ISLE OF WIGHT COUNCIL","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","NR31 6LA","200004442749","607","NORFOLK COUNTY COUNCIL","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RXY","KENT AND MEDWAY MENTAL HEALTH NHS TRUST","NHS TRUST","","ME16 9PH","200003696804","820","KENT COUNTY COUNCIL","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RYY","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","TN25 4AZ","","820","KENT COUNTY COUNCIL","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","NN16 8UZ","100032144449","Z9D4Z","NORTH NORTHAMPTONSHIRE COUNCIL","QPM","NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","E","EAST MIDLANDS GOVERNMENT OFFICE REGION"
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SE5 9RS","100023275065","708","LONDON BOROUGH OF LAMBETH","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RAX","KINGSTON AND RICHMOND NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","KT2 7QB","100023059215","729","ROYAL BOROUGH OF KINGSTON UPON THAMES","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RW5","LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","PR5 6AW","10013247881","323","LANCASHIRE COUNTY COUNCIL","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RXN","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","PR2 9HT","100012750544","323","LANCASHIRE COUNTY COUNCIL","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
