Code,Name,Postcode,latitude,longitude,geocoded,hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges,node_size
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,MK6 5LD,52.026384,-0.73576,True,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1,219,1795,2014,57,6.036994219653179
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR4 7UY,52.617567,1.221195,True,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,2583,3758,6341,65,6.469936473416128
RVJ,NORTH BRISTOL NHS TRUST,BS10 5NB,51.494806,-2.591016,True,RVJ,NORTH BRISTOL NHS TRUST,3,10806,1498,12304,95,7.975894236822526
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,CA2 7HY,54.896504,-2.957796,True,RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,7,1111,1943,3054,37,6.200354833171178
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N18 1QX,51.613096,-0.073725,True,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8,4860,33842,38702,74,6.886945573170034
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,TS24 9AH,54.702408,-1.227851,True,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,7,310,1844,2154,20,6.0536599324672355
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,PE3 9GZ,52.58394,-0.279371,True,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,6,193,5741,5934,55,6.032232587420592
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NN1 5BD,52.236068,-0.883829,True,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9,2298,1686,3984,75,6.41774165855892
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,M6 8HD,53.487562,-2.323424,True,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,0,439,9025,9464,61,6.077284953928919
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DN33 2BA,53.544883,-0.096293,True,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,5,950,24970,25920,71,6.170869341269387
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NE29 8NH,55.025248,-1.467353,True,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7,2112,7820,9932,38,6.383677674125794
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NG7 2UH,52.94382,-1.185953,True,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,9,22280,2987,25267,149,10.077239169003605
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OX3 9DU,51.763867,-1.219773,True,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1,2167,1667,3834,117,6.393750357694729
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,M8 5RB,53.517898,-2.229499,True,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,0,17,558,575,6,6.0
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PO6 3LY,50.850287,-1.069917,True,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1,850,1149,1999,48,6.152555371144051
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,RG1 5AN,51.451023,-0.95931,True,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1,26,1412,1438,45,6.00164825731128
